"APPLICATION_ID","DEALER_ID","APP_DATE","REQUESTED_AMOUNT","REQUESTED_TERM","CREDIT_TIER","DECISION"
"APP-A8CA2785056B","D1001","2026-04-03",42700,72,"Prime","Declined"
"APP-C9A28E66BAA7","D1001","2026-04-04",56400,60,"Prime","Booked"
"APP-EE113A9627BD","D1001","2026-04-04",44000,60,"Prime","Booked"
"APP-1FD920E1502F","D1001","2026-04-04",46300,72,"Prime","Booked"
"APP-85E135401F78","D1001","2026-04-04",43700,72,"Near_Prime","Booked"
"APP-968BA8A6B01D","D1001","2026-04-04",41500,72,"Near_Prime","Booked"
"APP-ECAF8B6A1245","D1001","2026-04-04",53300,72,"Prime","Booked"
"APP-BD498AFA5DA2","D1001","2026-04-05",51100,84,"Prime","Booked"
"APP-FC21E7BDAA13","D1001","2026-04-05",42700,72,"Prime","Booked"
"APP-98F2EB016C95","D1001","2026-04-05",50600,48,"Prime","Declined"
"APP-E4EF11E620B3","D1001","2026-04-05",35200,72,"Prime","Booked"
"APP-744D52539FF5","D1001","2026-04-05",57400,60,"Prime","Booked"
"APP-E07CACBC0439","D1001","2026-04-05",56400,60,"Prime","Declined"
"APP-D31D25BB571A","D1001","2026-04-06",52100,60,"Prime","Booked"
"APP-3A9FD350C7DA","D1001","2026-04-06",37700,60,"Subprime","Declined"
"APP-4F98F1C876B3","D1001","2026-04-06",38600,72,"Near_Prime","Declined"
"APP-F41397BFA88E","D1001","2026-04-06",49400,72,"Prime","Declined"
"APP-0D80398ABA05","D1001","2026-04-06",47500,72,"Prime","Declined"
"APP-32B2C57125BE","D1001","2026-04-06",42400,48,"Near_Prime","Booked"
"APP-974FAFA21A9E","D1001","2026-04-06",41400,60,"Prime","Declined"
"APP-E637C51E4E76","D1001","2026-04-06",45400,60,"Prime","Approved"
"APP-DC627025B976","D1001","2026-04-07",45700,60,"Prime","Booked"
"APP-BE9FD86F6E85","D1001","2026-04-07",41300,72,"Prime","Booked"
"APP-03822F49DEB3","D1001","2026-04-07",40400,48,"Prime","Declined"
"APP-2A6C7D5A76D0","D1001","2026-04-07",44100,72,"Subprime","Declined"
"APP-AF3C71D1FB15","D1001","2026-04-07",42800,72,"Prime","Declined"
"APP-A356025CDBF7","D1001","2026-04-07",47800,48,"Prime","Booked"
"APP-FC831B625E5B","D1001","2026-04-07",32300,72,"Near_Prime","Booked"
"APP-20CCE292D6AB","D1001","2026-04-07",34700,72,"Prime","Booked"
"APP-9EDFEB9A2995","D1001","2026-04-07",40900,72,"Subprime","Booked"
"APP-E7A4DE373E55","D1001","2026-04-07",54000,48,"Near_Prime","Declined"
"APP-EC5D684066E3","D1001","2026-04-08",50600,60,"Near_Prime","Approved"
"APP-C2DC9D60FF9A","D1001","2026-04-08",36300,72,"Prime","Booked"
"APP-72A75A2A925F","D1001","2026-04-08",37300,72,"Prime","Booked"
"APP-703531B1B88D","D1001","2026-04-08",41700,84,"Subprime","Approved"
"APP-FC5A8CCC6CE5","D1001","2026-04-08",38000,60,"Prime","Declined"
"APP-25DC1633CE3D","D1001","2026-04-08",51200,72,"Prime","Approved"
"APP-9AEFE6D38D0A","D1001","2026-04-08",41900,72,"Subprime","Booked"
"APP-C1D24D9438E6","D1001","2026-04-08",53800,72,"Prime","Declined"
"APP-72BE06ACEB51","D1001","2026-04-08",36100,60,"Prime","Approved"
"APP-F65E5A28F6E6","D1001","2026-04-08",61800,48,"Near_Prime","Declined"
"APP-CFC869783B8F","D1001","2026-04-08",41900,72,"Near_Prime","Booked"
"APP-67EB0DC09F56","D1001","2026-04-09",29000,84,"Subprime","Booked"
"APP-199AC52E505D","D1001","2026-04-09",37300,60,"Subprime","Booked"
"APP-AF083C9BA20B","D1001","2026-04-09",47300,72,"Prime","Booked"
"APP-31C9E06EBDB2","D1001","2026-04-09",51600,72,"Prime","Approved"
"APP-D874C12C3764","D1001","2026-04-09",40300,60,"Prime","Approved"
"APP-134AD3F9AF2D","D1001","2026-04-09",39400,72,"Prime","Booked"
"APP-FA1E6720325B","D1001","2026-04-09",40900,48,"Prime","Declined"
"APP-18BF1D2CEBEC","D1001","2026-04-09",41600,60,"Prime","Declined"
"APP-49ADB22994B3","D1001","2026-04-09",33200,60,"Near_Prime","Approved"
"APP-0D24DA10E21B","D1001","2026-04-09",40400,84,"Prime","Booked"
"APP-033A41A79E7E","D1001","2026-04-10",41200,72,"Prime","Booked"
"APP-105CBE28BAE4","D1001","2026-04-10",34800,72,"Prime","Booked"
"APP-54F01261E2E4","D1001","2026-04-10",43100,72,"Prime","Booked"
"APP-6A8B8885995D","D1001","2026-04-10",40400,72,"Prime","Booked"
"APP-342613E145E4","D1001","2026-04-10",41600,84,"Subprime","Booked"
"APP-ED90D8C880F7","D1001","2026-04-10",40800,60,"Prime","Declined"
"APP-0785B7D2925A","D1001","2026-04-10",47100,60,"Prime","Booked"
"APP-E04787084FC3","D1001","2026-04-10",36800,72,"Prime","Booked"
"APP-BBF14B5FD0A4","D1001","2026-04-10",42800,84,"Prime","Declined"
"APP-E4C5685C3AE4","D1001","2026-04-11",37000,72,"Subprime","Declined"
"APP-4E925EAF2B5C","D1001","2026-04-11",55800,48,"Prime","Approved"
"APP-8196EE428FFA","D1001","2026-04-11",49900,84,"Prime","Booked"
"APP-40A79954652A","D1001","2026-04-11",35900,48,"Prime","Booked"
"APP-543B53283C0B","D1001","2026-04-11",44100,72,"Prime","Approved"
"APP-205C3366D4A8","D1001","2026-04-11",37700,60,"Prime","Declined"
"APP-D9A46BEA4CC5","D1001","2026-04-12",39500,72,"Near_Prime","Booked"
"APP-FB1ACE83B562","D1001","2026-04-12",46400,60,"Prime","Booked"
"APP-DE386912D61B","D1001","2026-04-12",48700,84,"Prime","Booked"
"APP-B9968DD1D211","D1001","2026-04-12",48000,60,"Prime","Booked"
"APP-D3A6B26B915F","D1001","2026-04-12",42700,72,"Near_Prime","Booked"
"APP-32394D61D777","D1001","2026-04-12",49000,48,"Prime","Booked"
"APP-7D069EE98141","D1001","2026-04-13",36500,48,"Prime","Booked"
"APP-AB103201E512","D1001","2026-04-13",40600,60,"Prime","Booked"
"APP-39DDF8B247CF","D1001","2026-04-13",52800,84,"Near_Prime","Booked"
"APP-276CD171A0DF","D1001","2026-04-13",53900,84,"Prime","Approved"
"APP-66400A48E936","D1001","2026-04-13",38200,72,"Prime","Approved"
"APP-E63AB546C81D","D1001","2026-04-13",51800,60,"Prime","Declined"
"APP-EF10C11125E5","D1001","2026-04-13",38400,84,"Subprime","Declined"
"APP-66E8778FECC2","D1001","2026-04-13",40400,72,"Prime","Booked"
"APP-2DAA812DCAD0","D1001","2026-04-13",51300,84,"Prime","Booked"
"APP-30CA3B4F3DA4","D1001","2026-04-13",56700,72,"Prime","Booked"
"APP-4CF3679F3D56","D1001","2026-04-13",60300,84,"Prime","Booked"
"APP-ED19B8562E03","D1001","2026-04-13",48600,72,"Prime","Declined"
"APP-5269704A1BDA","D1001","2026-04-14",56900,72,"Prime","Declined"
"APP-633A31F5D76F","D1001","2026-04-14",31700,72,"Subprime","Declined"
"APP-60C38E50F695","D1001","2026-04-14",42000,72,"Prime","Booked"
"APP-EEFF634C1B29","D1001","2026-04-14",41500,60,"Near_Prime","Approved"
"APP-45A96E85BA50","D1001","2026-04-14",42200,84,"Prime","Booked"
"APP-513BFF960C0A","D1001","2026-04-14",35700,72,"Subprime","Booked"
"APP-1AA06F023282","D1001","2026-04-14",52300,60,"Prime","Approved"
"APP-5CF8F30C623F","D1001","2026-04-14",40000,60,"Prime","Booked"
"APP-FC3FB907F364","D1001","2026-04-14",43200,72,"Prime","Approved"
"APP-DB3524B04EE6","D1001","2026-04-15",51200,48,"Prime","Booked"
"APP-FFCC275DB9BD","D1001","2026-04-15",49000,72,"Prime","Declined"
"APP-C44537978FE5","D1001","2026-04-15",55800,48,"Prime","Booked"
"APP-7D59E6852DA9","D1001","2026-04-15",48600,72,"Prime","Declined"
"APP-8EC5A0941614","D1001","2026-04-15",47300,60,"Prime","Booked"
"APP-2F161848BFB6","D1001","2026-04-15",53700,72,"Prime","Booked"
"APP-37516413ACFC","D1001","2026-04-15",41900,84,"Prime","Declined"
"APP-32F8F54296CE","D1001","2026-04-15",37300,72,"Prime","Booked"
"APP-C06FB9DD583A","D1001","2026-04-15",38000,72,"Subprime","Booked"
"APP-B3AD920A89F2","D1001","2026-04-15",47000,72,"Subprime","Booked"
"APP-16AF47244FAA","D1001","2026-04-16",37300,60,"Subprime","Booked"
"APP-919B49296E24","D1001","2026-04-16",39400,72,"Prime","Booked"
"APP-B2B75579CB2B","D1001","2026-04-16",36000,72,"Prime","Booked"
"APP-96AF02B53609","D1001","2026-04-16",28500,84,"Prime","Approved"
"APP-340A3C910498","D1001","2026-04-16",32300,60,"Subprime","Declined"
"APP-18F4D40B9360","D1001","2026-04-16",51600,72,"Prime","Booked"
"APP-A243A2C5C7D1","D1001","2026-04-16",38000,60,"Near_Prime","Booked"
"APP-C97F2E4A9661","D1001","2026-04-16",45200,72,"Prime","Approved"
"APP-3C1EF5781CAA","D1001","2026-04-16",47000,84,"Prime","Booked"
"APP-6E1A68F3957F","D1001","2026-04-16",32700,84,"Prime","Booked"
"APP-59E7E30236A4","D1001","2026-04-17",41500,72,"Near_Prime","Declined"
"APP-3BEE935781B0","D1001","2026-04-17",37500,72,"Subprime","Booked"
"APP-B8A0E0AEEF90","D1001","2026-04-17",57300,84,"Prime","Booked"
"APP-D2350BB632E6","D1001","2026-04-17",57300,72,"Prime","Approved"
"APP-6865DEDF88CA","D1001","2026-04-17",46400,84,"Subprime","Booked"
"APP-A37116DBDE79","D1001","2026-04-17",36700,72,"Subprime","Declined"
"APP-F78F6F9DCA1A","D1001","2026-04-17",34500,72,"Subprime","Booked"
"APP-E777855DC819","D1001","2026-04-17",47900,72,"Prime","Booked"
"APP-3C4C56D1F986","D1001","2026-04-17",34600,60,"Prime","Booked"
"APP-A915086FC753","D1001","2026-04-17",54000,72,"Prime","Approved"
"APP-AED5C58F56C1","D1001","2026-04-18",43500,60,"Near_Prime","Booked"
"APP-37B4DFF91EFA","D1001","2026-04-18",35200,60,"Prime","Booked"
"APP-C3941E9905E0","D1001","2026-04-18",43000,72,"Prime","Declined"
"APP-77AC31B0592A","D1001","2026-04-18",38000,84,"Near_Prime","Booked"
"APP-2C4C9D7AD01B","D1001","2026-04-18",43900,72,"Prime","Declined"
"APP-54341D34A2BD","D1001","2026-04-18",30300,60,"Subprime","Booked"
"APP-D6F0AC7589B9","D1001","2026-04-19",35900,72,"Subprime","Booked"
"APP-A7A8CC123957","D1001","2026-04-19",46500,72,"Prime","Booked"
"APP-86BEC6F5495C","D1001","2026-04-19",49200,72,"Prime","Booked"
"APP-FA7759C4BA32","D1001","2026-04-19",44700,84,"Near_Prime","Booked"
"APP-C56529F20380","D1001","2026-04-19",46200,72,"Prime","Declined"
"APP-8EADBCD3C671","D1001","2026-04-20",54700,84,"Near_Prime","Booked"
"APP-D012DD717732","D1001","2026-04-20",43900,72,"Near_Prime","Booked"
"APP-FB3E03729F89","D1001","2026-04-20",48500,48,"Prime","Booked"
"APP-9F22B917F123","D1001","2026-04-20",46100,48,"Prime","Approved"
"APP-FF4C22033C9F","D1001","2026-04-20",57200,60,"Prime","Booked"
"APP-A0AF7BE4B286","D1001","2026-04-20",52100,60,"Near_Prime","Approved"
"APP-6330D9FD2CAF","D1001","2026-04-20",43600,48,"Prime","Booked"
"APP-0BE2CA44558A","D1001","2026-04-20",34300,72,"Prime","Declined"
"APP-D1C49780665F","D1001","2026-04-20",50500,84,"Prime","Approved"
"APP-A13952ABAAE0","D1001","2026-04-21",48200,84,"Prime","Declined"
"APP-C90494A78DBD","D1001","2026-04-21",61600,48,"Prime","Booked"
"APP-66E2B738A606","D1001","2026-04-21",45800,48,"Prime","Booked"
"APP-A3554100CB0B","D1001","2026-04-21",53800,72,"Prime","Booked"
"APP-37429467C273","D1001","2026-04-21",48000,84,"Prime","Booked"
"APP-513A551576C9","D1001","2026-04-21",52300,72,"Prime","Declined"
"APP-5A859D9C18BA","D1001","2026-04-21",50700,84,"Prime","Booked"
"APP-4E035616FA57","D1001","2026-04-21",30700,84,"Subprime","Booked"
"APP-08839FB02311","D1001","2026-04-21",63900,48,"Prime","Booked"
"APP-345A96A441B5","D1001","2026-04-22",52900,72,"Prime","Booked"
"APP-11EFBDB73FC0","D1001","2026-04-22",43900,60,"Prime","Booked"
"APP-DF1A40A56D77","D1001","2026-04-22",49100,60,"Prime","Approved"
"APP-2942587A78F6","D1001","2026-04-22",33700,60,"Prime","Booked"
"APP-20F26B0A4441","D1001","2026-04-22",43500,72,"Prime","Booked"
"APP-E73ED5F33D79","D1001","2026-04-22",35300,60,"Subprime","Approved"
"APP-84F4307B4660","D1001","2026-04-22",38500,60,"Near_Prime","Approved"
"APP-FED3DECE1A42","D1001","2026-04-22",36100,84,"Prime","Booked"
"APP-0D715355B77A","D1001","2026-04-22",56100,72,"Prime","Approved"
"APP-4269B2436F2F","D1001","2026-04-22",50200,72,"Prime","Booked"
"APP-087F41C8C837","D1001","2026-04-23",38100,72,"Subprime","Approved"
"APP-6B1CABD0E13B","D1001","2026-04-23",46100,72,"Prime","Booked"
"APP-A0E71FAF51D8","D1001","2026-04-23",47500,48,"Near_Prime","Approved"
"APP-7F03986E34CD","D1001","2026-04-23",39800,84,"Prime","Booked"
"APP-990BBCB095F1","D1001","2026-04-23",43700,84,"Near_Prime","Declined"
"APP-06598129A75F","D1001","2026-04-23",56000,60,"Prime","Booked"
"APP-D5AF92F7B8F8","D1001","2026-04-23",28000,48,"Subprime","Booked"
"APP-84B865F0E362","D1001","2026-04-24",44100,72,"Prime","Booked"
"APP-14D081255A2D","D1001","2026-04-24",44600,60,"Prime","Booked"
"APP-2CDB6E71F864","D1001","2026-04-24",49400,72,"Near_Prime","Booked"
"APP-BA354D0071BD","D1001","2026-04-24",47700,72,"Near_Prime","Declined"
"APP-84611AFB3973","D1001","2026-04-24",33600,60,"Near_Prime","Approved"
"APP-4E09F408531C","D1001","2026-04-24",37900,84,"Near_Prime","Declined"
"APP-050718FB8D08","D1001","2026-04-24",51400,60,"Prime","Booked"
"APP-EA86AACDF38E","D1001","2026-04-24",49400,84,"Prime","Approved"
"APP-B6194F025965","D1001","2026-04-25",47900,84,"Prime","Booked"
"APP-86E941B4E56F","D1001","2026-04-25",47500,72,"Prime","Booked"
"APP-65153C73E898","D1001","2026-04-25",45400,72,"Prime","Approved"
"APP-2F288C9238D1","D1001","2026-04-25",53200,84,"Prime","Booked"
"APP-EB105769C490","D1001","2026-04-25",34800,48,"Subprime","Declined"
"APP-86EFA3FF1869","D1001","2026-04-26",45200,48,"Prime","Approved"
"APP-345FAD30B6A5","D1001","2026-04-26",35600,84,"Subprime","Declined"
"APP-BC54E13469F4","D1001","2026-04-26",46100,84,"Prime","Booked"
"APP-5BF936B201C5","D1001","2026-04-26",39900,72,"Prime","Declined"
"APP-B596B1E9225A","D1001","2026-04-26",54300,60,"Prime","Booked"
"APP-10B0CEB9D4D7","D1001","2026-04-26",45200,48,"Near_Prime","Declined"
"APP-5A3855DCCFDA","D1001","2026-04-27",30900,72,"Subprime","Approved"
"APP-7738F7DFEA37","D1001","2026-04-27",54500,72,"Prime","Approved"
"APP-41763386D6ED","D1001","2026-04-27",43500,84,"Prime","Declined"
"APP-4E9BCE80EDF1","D1001","2026-04-27",36600,72,"Prime","Declined"
"APP-FEECC9CC3DA9","D1001","2026-04-27",38100,72,"Subprime","Approved"
"APP-F300C0B46163","D1001","2026-04-27",52600,72,"Prime","Approved"
"APP-AC808A295677","D1001","2026-04-27",56200,60,"Prime","Approved"
"APP-8808D1F06666","D1001","2026-04-27",42200,60,"Near_Prime","Booked"
"APP-0B280FCD5848","D1001","2026-04-28",48600,72,"Prime","Approved"
"APP-DB95170D616C","D1001","2026-04-28",52600,60,"Prime","Booked"
"APP-75E1BE5D3EF0","D1001","2026-04-28",36200,72,"Prime","Approved"
"APP-443F39AAE223","D1001","2026-04-28",38300,72,"Subprime","Declined"
"APP-61FD9D8769B7","D1001","2026-04-28",37300,72,"Prime","Booked"
"APP-B3AB673B18DC","D1001","2026-04-28",35200,72,"Subprime","Declined"
"APP-C4EAE996DB02","D1001","2026-04-28",33100,84,"Prime","Declined"
"APP-C3E41CE80659","D1001","2026-04-28",37400,60,"Prime","Approved"
"APP-2EB7D2ACC714","D1001","2026-04-28",40600,60,"Subprime","Booked"
"APP-617770E3ED0D","D1001","2026-04-29",42200,72,"Subprime","Declined"
"APP-6A7D714625CF","D1001","2026-04-29",35000,84,"Prime","Booked"
"APP-526369B66D28","D1001","2026-04-29",46000,72,"Prime","Approved"
"APP-708198377511","D1001","2026-04-29",48600,60,"Prime","Booked"
"APP-495A0D47520C","D1001","2026-04-29",35900,72,"Near_Prime","Booked"
"APP-EB0ADAADF197","D1001","2026-04-29",44500,84,"Prime","Declined"
"APP-A6E734EED780","D1001","2026-04-29",44800,60,"Prime","Booked"
"APP-52BB2ED24CD7","D1001","2026-04-29",38700,48,"Prime","Booked"
"APP-E11D6DD82712","D1001","2026-04-29",40400,84,"Subprime","Approved"
"APP-4FE32FF1405A","D1001","2026-04-29",48500,84,"Prime","Approved"
"APP-B030E53EB246","D1001","2026-04-30",44900,72,"Prime","Approved"
"APP-DC941DC906B6","D1001","2026-04-30",55200,72,"Prime","Booked"
"APP-BE1206C64152","D1001","2026-04-30",50300,48,"Near_Prime","Booked"
"APP-F15DB5C3A813","D1001","2026-04-30",40700,72,"Prime","Declined"
"APP-8D3A9AA2261D","D1001","2026-04-30",51400,72,"Prime","Approved"
"APP-017DDCF7964C","D1001","2026-04-30",38900,60,"Prime","Booked"
"APP-3A2C5284123A","D1001","2026-04-30",37400,72,"Prime","Approved"
"APP-155A4FAE5A27","D1001","2026-04-30",46800,60,"Prime","Approved"
"APP-E74BE30E5E3F","D1001","2026-04-30",34100,48,"Subprime","Booked"
"APP-91E27B6428FD","D1001","2026-04-30",31700,84,"Near_Prime","Booked"
"APP-075A24F9C23F","D1001","2026-05-01",45100,84,"Subprime","Declined"
"APP-B2611940F8A9","D1001","2026-05-01",38500,60,"Prime","Booked"
"APP-EDA75CC76028","D1001","2026-05-01",58700,84,"Prime","Booked"
"APP-A482510046E2","D1001","2026-05-01",31400,60,"Subprime","Approved"
"APP-8AEB306F0464","D1001","2026-05-01",39200,60,"Prime","Booked"
"APP-5297E21BC6F0","D1001","2026-05-01",22900,72,"Prime","Approved"
"APP-A45A3E312E6D","D1001","2026-05-01",42300,60,"Subprime","Approved"
"APP-76F24664CA7C","D1001","2026-05-01",50300,72,"Prime","Approved"
"APP-93CC4235C559","D1001","2026-05-02",37700,84,"Subprime","Booked"
"APP-A87ADBA39874","D1001","2026-05-02",49100,72,"Prime","Declined"
"APP-C98EF5DD28F0","D1001","2026-05-02",39600,60,"Prime","Approved"
"APP-1198B46E15B6","D1001","2026-05-02",53100,72,"Prime","Approved"
"APP-87504849C29D","D1001","2026-05-02",36600,72,"Prime","Booked"
"APP-E96548071E9D","D1001","2026-05-02",42500,84,"Prime","Approved"
"APP-E68A7EF1B3DB","D1001","2026-05-03",42100,60,"Subprime","Approved"
"APP-2994DA69BB98","D1001","2026-05-03",51400,72,"Prime","Booked"
"APP-6B7282CDCCEA","D1001","2026-05-03",29100,72,"Subprime","Booked"
"APP-811B9C33BFA1","D1001","2026-05-03",49300,72,"Prime","Booked"
"APP-1483CDC637CB","D1001","2026-05-03",47100,84,"Prime","Booked"
"APP-E70F3CB3BF5F","D1001","2026-05-04",53000,84,"Prime","Booked"
"APP-5A17374C3EE8","D1001","2026-05-04",43100,60,"Prime","Approved"
"APP-FC147D27FB0D","D1001","2026-05-04",46400,72,"Prime","Booked"
"APP-45A121AC86CC","D1001","2026-05-04",36200,72,"Prime","Approved"
"APP-892BB35D1887","D1001","2026-05-04",45400,48,"Prime","Booked"
"APP-2F2388E87DE5","D1001","2026-05-04",45800,84,"Prime","Declined"
"APP-9B2229D3DF46","D1001","2026-05-04",57000,84,"Prime","Booked"
"APP-FE2E0CFE7FFE","D1001","2026-05-04",34300,72,"Near_Prime","Declined"
"APP-BBE3767E732E","D1001","2026-05-04",33000,72,"Prime","Approved"
"APP-12C00D81790F","D1001","2026-05-04",59800,72,"Prime","Booked"
"APP-890CE2BDBF9D","D1001","2026-05-04",44800,48,"Prime","Approved"
"APP-C298F201BDA4","D1001","2026-05-05",51000,48,"Prime","Booked"
"APP-2AE1355E23F7","D1001","2026-05-05",50200,60,"Prime","Approved"
"APP-2CA36B240CCC","D1001","2026-05-05",37500,72,"Subprime","Booked"
"APP-3F435C40E5CB","D1001","2026-05-05",34200,60,"Prime","Booked"
"APP-3D9D9E249826","D1001","2026-05-05",45200,84,"Prime","Declined"
"APP-79BCB0263A45","D1001","2026-05-05",51500,60,"Prime","Booked"
"APP-E8BC914BD8B8","D1001","2026-05-05",52600,72,"Prime","Approved"
"APP-3BD2761170BB","D1001","2026-05-05",43900,48,"Prime","Booked"
"APP-1C4F78143D8A","D1001","2026-05-05",28800,84,"Subprime","Declined"
"APP-6DE00F45FD9D","D1001","2026-05-05",31700,72,"Subprime","Approved"
"APP-B3DF80E12136","D1001","2026-05-06",47400,60,"Prime","Declined"
"APP-FEE1A8D115BD","D1001","2026-05-06",28200,72,"Subprime","Declined"
"APP-E6F2EDC8DC91","D1001","2026-05-06",40900,48,"Prime","Booked"
"APP-3DEAB7A21AD6","D1001","2026-05-06",37200,72,"Near_Prime","Approved"
"APP-BAED9E9395F8","D1001","2026-05-06",41800,60,"Prime","Booked"
"APP-3AEA07E3F1EB","D1001","2026-05-06",50100,60,"Prime","Booked"
"APP-03B9FA4BF9A5","D1001","2026-05-06",59400,60,"Prime","Declined"
"APP-5A9C8C736775","D1001","2026-05-06",49300,72,"Near_Prime","Booked"
"APP-083A7520D3E1","D1001","2026-05-06",49000,84,"Prime","Booked"
"APP-3A69DA2E232A","D1001","2026-05-07",42000,48,"Prime","Booked"
"APP-F37C850AAB42","D1001","2026-05-07",47400,84,"Prime","Booked"
"APP-C9FA81A4FDD8","D1001","2026-05-07",48300,72,"Near_Prime","Booked"
"APP-2B39D1B259F0","D1001","2026-05-07",42900,84,"Prime","Booked"
"APP-C94B20DC6083","D1001","2026-05-07",43600,72,"Subprime","Approved"
"APP-53BD83AEBF7B","D1001","2026-05-07",38800,60,"Prime","Booked"
"APP-76A350473CF5","D1001","2026-05-07",43200,60,"Prime","Booked"
"APP-881316539DA6","D1001","2026-05-07",37600,72,"Subprime","Declined"
"APP-C6CA023DF9A2","D1001","2026-05-07",51100,84,"Prime","Booked"
"APP-0B4A75E92E11","D1001","2026-05-07",52400,72,"Prime","Booked"
"APP-E6EE3D530912","D1001","2026-05-08",51300,84,"Near_Prime","Declined"
"APP-11ACA4327617","D1001","2026-05-08",55500,84,"Prime","Declined"
"APP-8B86C3B1C235","D1001","2026-05-08",38100,72,"Prime","Approved"
"APP-CB79A597A6FB","D1001","2026-05-08",49300,84,"Prime","Declined"
"APP-186311CA6A93","D1001","2026-05-08",53200,48,"Prime","Booked"
"APP-EE2841DA14F9","D1001","2026-05-08",51600,60,"Prime","Declined"
"APP-181E9F21C4FF","D1001","2026-05-08",60700,72,"Prime","Booked"
