"CONTRACT_ID","APPLICATION_ID","DEALER_ID","CONTRACT_DATE","FUNDED_DATE","EXCEPTION_FLAG","EXCEPTION_TYPE"
"CON-445A5CFA4EDC","APP-6100E6D00C42","D1008","2026-04-04","2026-04-07",false,"None"
"CON-A1C811268726","APP-0B94F0D1A058","D1006","2026-04-03","2026-04-06",false,"None"
"CON-186474417E92","APP-AF10FB66563A","D1013","2026-04-04","2026-04-05",false,"None"
"CON-8B4E7062113A","APP-EE113A9627BD","D1001","2026-04-06","2026-04-07",false,"None"
"CON-C1B59612542E","APP-53C4F880DCA5","D1003","2026-04-05","2026-04-06",false,"None"
"CON-372A7F7A2407","APP-3922C6A7CBE0","D1003","2026-04-04","2026-04-06",false,"None"
"CON-5434B9AB9A1C","APP-07C9E7CE6706","D1003","2026-04-04","2026-04-06",false,"None"
"CON-034ECEB4EA05","APP-036458329531","D1003","2026-04-05","2026-04-07",false,"None"
"CON-452F51C81BBA","APP-D0052EA8DC0F","D1011","2026-04-06","2026-04-08",false,"None"
"CON-67C9EFAA822F","APP-D78B4E03317C","D1011","2026-04-05","2026-04-06",false,"None"
"CON-EEF1A95A3697","APP-1FD920E1502F","D1001","2026-04-06","2026-04-08",false,"None"
"CON-096DB533FBB9","APP-85E135401F78","D1001","2026-04-06","2026-04-08",false,"None"
